show_id,date_added,release_year,rating,duration,listed_in,description
s701,7-Aug-19,2019,TV-14,117 min,"International Movies, Thrillers","When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
s702,26-Mar-20,2019,TV-14,117 min,Dramas,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.
s703,22-Aug-20,2019,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows","Couples go on a romantic getaway to test their relationships, not knowing their families are calling the shots and cringing over their every move."
s704,4-Jun-20,2020,TV-MA,3 Seasons,"Anime Series, International TV Shows","While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on."
s705,6-Nov-20,2020,TV-Y7,1 Season,"Anime Series, Kids' TV","Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan."
s706,6-Nov-20,2018,TV-PG,1 Season,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
s707,31-Mar-20,2019,TV-Y7,1 Season,Kids' TV,"Watch Ganesh destroy demons, disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant god’s childhood."
s708,1-Apr-17,2016,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.
s709,1-Apr-18,1995,G,78 min,"Children & Family Movies, Dramas","Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter."
s710,1-Apr-18,2001,G,75 min,Children & Family Movies,"Half-dog, half-wolf Balto (voiced by Maurice LaMarche) and his wife proudly put their pups up for adoption to humans, but when nobody takes daughter Aleu because she looks too much like a wolf, she runs away to search for her place in the world."
s711,1-Apr-18,2004,G,78 min,Children & Family Movies,"A pilot challenges Balto's son Kodi and his sled team to see who can deliver the mail faster, but the dogs race to the rescue when the plane vanishes."
s712,1-Mar-18,2017,TV-MA,149 min,"International Movies, Romantic Movies","Determined to stop his ex-girlfriend from marrying, a young man crashes the wrong wedding and meets a bride looking to run away."
s713,10-Mar-17,2015,TV-14,103 min,"Comedies, International Movies, Romantic Movies","Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos."
s714,6-Dec-19,2017,TV-14,108 min,"Comedies, International Movies","Searching for a soul mate, a ghost negotiates with God for three more days on Earth to find love, then meets a woman in need of help herself."
s715,26-Jul-20,2020,TV-MA,84 min,"Comedies, Dramas, Independent Movies","Despite leaving for college, a heartsick teen tries to build a new friendship with a kindred spirit even though she's dating her ex-boyfriend."
s716,12-Apr-19,2017,R,94 min,"Comedies, Dramas, Independent Movies","A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor."
s717,15-Apr-16,2015,NR,95 min,"Action & Adventure, Comedies, Independent Movies","Recast as modern-day men, Tom Sawyer and Huck Finn draft their misfit cronies to help find the buried treasure the two have sought since boyhood."
s718,1-Nov-17,1978,TV-PG,141 min,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
s719,25-Jul-18,2010,TV-MA,122 min,"Action & Adventure, International Movies",A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.
s720,15-Dec-19,2015,TV-14,134 min,"Comedies, Dramas, International Movies","Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course."
s721,4-Jun-18,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.
s722,20-Nov-19,2019,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires."
s723,14-Sep-18,2002,TV-MA,107 min,"Dramas, International Movies","When offered a deal to snitch on fellow prisoners, an inmate faces a tough dilemma: act in his own interest, or help those who may need him."
s724,8-Mar-19,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A loving couple become rivals when Belle opens a fusion bistro next to her ex-boyfriend Kram’s traditional restaurant in Bangkok’s chic Ari district.
s725,31-Jul-19,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","From a teenage parkour enthusiast to a bawdy restaurateur, an eclectic group of characters find romance in Bangkok's glittering Silom district."
s726,2-Jul-19,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.
s727,2-Jul-19,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","In Bangkok's Chinatown, a spirited digital marketing expert falls for a blind fortune-teller, but their love is predestined to end in disaster."
s728,5-Sep-18,2009,TV-14,126 min,"Comedies, International Movies, Romantic Movies","After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
s729,1-Sep-18,2015,TV-MA,122 min,"Documentaries, International Movies, Sports Movies",Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.
s730,31-Dec-19,2009,TV-14,95 min,"Dramas, International Movies","After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom."
s731,12-Oct-17,2016,TV-MA,88 min,"Comedies, International Movies, Romantic Movies",A laid-back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions.
s732,23-Oct-20,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
s733,15-Aug-17,2017,TV-MA,101 min,"Documentaries, International Movies","A blend of cultural nuance and mesmerizing techniques adds flavor to this globe-hopping celebration of cooking, tradition and community."
s734,1-Oct-17,2013,TV-Y,74 min,Children & Family Movies,"Barbie and her sisters set off on a Swiss adventure to the majestic Alps, where they're excited to spend the summer at a fun-filled riding academy!"
s735,18-Sep-17,2017,TV-Y,64 min,Children & Family Movies,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend."
s736,14-Feb-19,2018,TV-Y,3 Seasons,Kids' TV,Get to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family's new dreamhouse.
s737,21-Mar-20,2020,TV-Y,2 Seasons,Kids' TV,"As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss."
s738,1-Oct-17,2010,TV-Y,74 min,Children & Family Movies,"Surf champ Merliah discovers she's actually a mermaid in a girl's body. With the help of a dolphin, Merliah must rescue her mom, the Queen of Oceana."
s739,1-Oct-17,2015,TV-Y,74 min,Children & Family Movies,"A princess with a predictable life finds herself transformed by a magical butterfly's kiss into Super Sparkle, a crime-fighting superhero."
s740,1-Oct-17,2015,TV-Y,83 min,Children & Family Movies,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences."
s741,1-Jul-17,2012,TV-Y,1 Season,"Kids' TV, TV Comedies",Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.
s742,1-Sep-20,2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals","Through music and magic, Barbie learns what it's like to be a modern princess when she trades places with a royal lookalike."
s743,1-Oct-17,2016,TV-Y,79 min,Children & Family Movies,"A hoverboard-riding princess of the cosmos, Barbie must band together with a team of talented new friends to save the stars from winking out."
s744,1-Oct-17,2010,TV-Y7,72 min,Children & Family Movies,"When devilish fairies capture Ken and fly away with him, Barbie and Raquelle travel to the glittering fairy world of Gloss Angeles to save him."
s745,1-Oct-17,2011,TV-Y,80 min,Children & Family Movies,"Blair Willows is excited when she gets to go to Princess Charm School, where she meets princesses Delancy and Hadley, and searches for a magic crown."
s746,1-Oct-17,2016,TV-Y,75 min,Children & Family Movies,"A high-tech spy agency transforms Barbie and her best friends into secret agents, using their gymnastics skills to bring down a cunning cat burglar."
s747,1-Oct-17,2012,TV-Y,75 min,Children & Family Movies,"Barbie stars as a princess who would rather sing and dance than be a royal. When a famous pop star visits the kingdom, they decide to switch places."
s748,1-Oct-17,2017,TV-Y,72 min,Children & Family Movies,"Pulled into her favorite video game, Barbie becomes a fun, roller-skating heroine who's battling a sinister emoji that's trying to take over."
s749,22-Nov-17,2017,TV-14,109 min,Music & Musicals,"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes."
s750,14-Mar-19,2016,TV-14,132 min,"Dramas, International Movies, Romantic Movies","While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life."
s751,27-Sep-19,2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
s752,21-Aug-18,2017,TV-14,110 min,"Comedies, Dramas, International Movies","When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection."
s753,26-Jul-18,2015,PG-13,99 min,"Action & Adventure, Comedies",A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.
s754,1-Nov-18,2012,TV-14,144 min,"Comedies, Dramas, International Movies","Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
s755,19-Aug-18,2013,TV-14,91 min,"Comedies, International Movies",Four friends from a humble technical school compete against the elite students of a prestigious university in a robot-building contest.
s756,16-Dec-16,2016,TV-MA,105 min,Dramas,"A young Barack Obama forges his identity while dealing with race, divergent cultures and ordinary life as a New York City college student."
s757,1-Apr-18,1995,TV-PG,166 min,"Action & Adventure, International Movies, Music & Musicals","A naïve young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair."
s758,1-Nov-18,1998,R,103 min,"Comedies, Sports Movies","When two slackers' made-up sport, BASEketball, becomes a national craze, they hope to cash in on the basketball/baseball hybrid's popularity."
s759,1-Oct-20,1992,R,128 min,"Classic Movies, Thrillers",A detective investigating a rock star's brutal murder becomes drawn to the prime suspect — a mysterious novelist whose recent book mirrors the crime.
s760,2-Aug-19,2019,TV-PG,1 Season,"Docuseries, Reality TV",Follow the Chinle High basketball team in Arizona's Navajo Nation on a quest to win a state championship and bring pride to their isolated community.
s761,31-Dec-17,2016,TV-Y,1 Season,Kids' TV,"A curious and talkative bat finds spooky fun on the streets of Fogville, a town that's not as quiet as it seems, with a plucky girl and her brothers."
s762,20-Feb-18,2017,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Horror","When his father dies, Norman Bates and his mother open a hotel. But Norman's precarious mental state drives them down a dark and violent path."
s763,1-Oct-18,2016,TV-14,118 min,"Dramas, International Movies, Sports Movies",An ambitious young athlete endeavors to revive his floundering running career after falling prey to negative influences.
s764,9-May-19,2018,PG-13,87 min,"Documentaries, Music & Musicals","A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession."
s765,15-Oct-20,2016,R,77 min,Action & Adventure,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.
s766,1-Dec-18,2018,TV-MA,98 min,"Dramas, International Movies, Romantic Movies","After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael."
s767,31-Dec-15,2015,TV-14,1 Season,"Crime TV Shows, TV Comedies, TV Dramas","A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct."
s768,1-Mar-18,2018,TV-MA,94 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","A team of mercenaries working with the CIA accepts an off-the-books mission in Chernobyl, where deadly human-controlled droids prepare an ambush."
s769,1-Aug-16,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Reality TV",A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.
s770,21-Sep-18,2018,TV-MA,1 Season,"Reality TV, Science & Nature TV, TV Action & Adventure","Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast."
s771,31-Dec-19,1972,TV-PG,125 min,"Classic Movies, Comedies, Dramas",A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.
s772,30-Sep-20,2019,TV-PG,29 min,"Dramas, International Movies",A young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family.
s773,29-Mar-19,2019,TV-MA,102 min,"Dramas, International Movies, Sports Movies","Alone in Finland, a retired Mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring."
s774,31-Dec-19,1982,TV-14,121 min,"Dramas, Independent Movies, International Movies","A young man challenges traditional customs by standing up to the father of the woman he loves, who has promised her to a wealthy expatriate."
s775,5-Jul-20,2011,TV-14,116 min,"Action & Adventure, Comedies, Dramas","A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job."
s776,28-Feb-17,2015,TV-MA,110 min,Documentaries,"Trace the brave journey of actor Andy Whitfield, who received a devastating cancer diagnosis while starring in the series ""Spartacus: Blood and Sand."""
s777,20-Nov-19,2016,PG,88 min,"Comedies, Dramas, Romantic Movies","To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily."
s778,1-Oct-16,2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love reunite and find themselves closer than ever."
s779,1-Oct-16,2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After reconnecting with their girlhood crushes, two sisters find their lives turned upside down by surprising revelations and romantic intrigue."
s780,29-Aug-18,2018,TV-Y,1 Season,Kids' TV,"Bear buddies Bucky and Bjorn play games, go on far-out adventures and learn about wondrous new things together."
s781,1-Mar-17,2013,TV-G,52 min,"Documentaries, International Movies","Whoever came up with the term ""bird brain"" never met these feathered thinkers, who use their claws and beaks to solve puzzles, make tools and more."
s782,1-Aug-18,1997,PG-13,89 min,"Comedies, International Movies","Disaster-prone Mr. Bean is sent to Los Angeles to guard a famous painting, but as he's unfit for any physical task, everything goes hilariously wrong."
s783,1-Mar-17,2013,TV-G,52 min,"Children & Family Movies, Documentaries, International Movies",A well-known wildlife photographer living alone in the Bohemian Forest finds himself playing mama bear to a pair of abandoned cubs.
s784,1-Feb-19,2010,TV-PG,1 Season,Docuseries,A diverse crew of experts dive deep into the origin stories of mythological monsters before building replicas of the creatures using 3D CGI technology.
s785,13-Mar-20,2019,TV-MA,1 Season,"Anime Series, International TV Shows","In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
s786,16-Oct-15,2015,TV-MA,137 min,"Dramas, Independent Movies","When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier."
s787,21-Jul-19,2018,TV-Y,3 Seasons,Kids' TV,"With songs made famous by the Beatles, five friendly bugs learn big lessons about the world around them – all from the safety of their own backyard."
s788,21-Nov-17,2017,TV-Y,51 min,"Children & Family Movies, Music & Musicals","After winning a local talent show, the Beat Bugs journey to compete on ""The Bug Factor,"" a televised singing contest held in faraway Rocket Ship Park."
s789,22-May-17,2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","After enduring both business and family upheavals, a ruthless investment director has a heart transplant and finds a new way to look at life and love."
s790,19-Jun-19,2019,TV-MA,110 min,"Dramas, Independent Movies, Music & Musicals","On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor."
s791,25-Nov-16,2016,TV-MA,92 min,"Documentaries, International Movies","Back in the days of disco, Mexico had its own stars of the night. This documentary casts new light on former queens of the Mexican burlesque scene."
s792,19-Sep-16,2016,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas",A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.
s793,27-Feb-19,2015,TV-14,119 min,"Action & Adventure, Comedies, International Movies","Finding himself in a desperate situation, undercover agent Emman asks his former best friend, Erika, to join him on a dangerous mission."
s794,23-Apr-19,2016,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Beauty pageant contestants from all over Thailand fight for the crown as they contend with drama and intrigue behind the scenes.
s795,20-Nov-19,1996,PG-13,81 min,"Comedies, Cult Movies","After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital."
s796,20-Nov-19,1992,PG-13,73 min,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids."
s797,8-Dec-18,2008,TV-14,75 min,"Comedies, Dramas, International Movies","After losing a World Cup bet, two hapless buddies must use their wits to pay off their debt to a big Jakarta bookie in this action-packed comedy."
s798,1-Jan-20,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond."
s799,18-Apr-19,2016,TV-14,99 min,"Comedies, International Movies",Trouble and high jinks ensue when a man and woman stumble on a bag full of money while out on the town.
s800,6-May-20,2020,PG,89 min,Documentaries,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming."""
s801,1-Aug-18,2018,TV-G,1 Season,"Docuseries, International TV Shows",This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.
s802,12-Jan-19,2007,PG-13,121 min,"Dramas, Romantic Movies",A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.
s803,5-Mar-19,2008,PG,100 min,"Children & Family Movies, Comedies",Skeeter's life is turned upside down when the fantastical stories he makes up to entertain his niece and nephew inexplicably turn into reality.
s804,1-Jan-17,2007,PG,92 min,"Children & Family Movies, Comedies","Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along."
s805,26-Oct-18,2018,TV-MA,100 min,"Dramas, International Movies, Music & Musicals",A single mother in London's Camden Town hears music when she meets a handsome stranger with a past. But she's not sure she's ready to open her heart.
s806,24-Nov-20,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30."
s807,8-Jun-20,2017,PG-13,98 min,"Dramas, Romantic Movies","Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life."
s808,5-Jan-18,2016,PG-13,97 min,"Horror Movies, Thrillers","Still mourning the death of their son, Mark and Jessie welcome foster child Cody into their lives. Soon they discover he has a strange ability."
s809,1-Feb-18,2016,PG,97 min,Documentaries,Leonardo DiCaprio crisscrosses the globe to investigate the consequences of man-made globe warming and the measures being taken to reverse it.
s810,5-Jun-20,2016,TV-14,86 min,"Dramas, International Movies","Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday."
s811,25-Aug-17,2015,TV-14,105 min,"Documentaries, International Movies","After a documentary about the Japanese whaling industry garnered international attention, an amateur filmmaker decides to tell the rest of the story."
s812,15-Aug-16,2001,TV-14,1 Season,"British TV Shows, Docuseries","After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics."
s813,5-Apr-18,2017,TV-MA,100 min,"Documentaries, LGBTQ Movies, Music & Musicals",Follow singer and YouTube sensation Todrick Hall as he launches an original musical based on growing up gay in Texas and finding showbiz success.
s814,15-Feb-19,2018,TV-14,96 min,Documentaries,"Meet the growing, worldwide community of theorists who defend the belief that the Earth is flat while living in a society who vehemently rejects it."
s815,14-Sep-18,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions."
s816,19-May-17,2010,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",An Ankara homicide detective with a dark personal life and a disdain for rules and political correctness solves murders and fights police corruption.
s817,1-Nov-17,2016,TV-MA,115 min,"Dramas, International Movies, Romantic Movies","After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
s818,15-Aug-16,2015,TV-14,99 min,"Documentaries, International Movies, Sports Movies","With retirement staring him in the face, an all-time-great jump jockey pursues his 20th consecutive title in his unrelenting quest for glory."
s819,21-Feb-12,2011,PG,76 min,Documentaries,"Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street."""
s820," July 1, 2017",2016,TV-14,4 Seasons,"Romantic TV Shows, TV Dramas",Ambitious single TV journalist Mary Jane attempts to balance her career with her overbearing family and an increasingly messy love life.
s821,20-Dec-19,2014,TV-14,113 min,"Dramas, International Movies, Romantic Movies","When a scorned wife from the city shares a cab with a troubled villager, a fiery accident forces them to live out each other's lives."
s822,1-Aug-18,2018,TV-MA,88 min,Documentaries,"On the 200th anniversary of the Battle of Waterloo, thousands of enthusiasts reenact the epic clash. But there can only be one Napoleon."
s823,19-Oct-20,1975,TV-14,106 min,"Classic Movies, Dramas, International Movies","In the aftermath of the 1967 Arab-Israeli War, four young Lebanese navigate their existence along rapidly transforming political lines."
s824,15-Apr-16,2016,TV-MA,127 min,"Dramas, International Movies","Two brothers become partners in a modest nightclub and turn it into the hottest spot in town, but their exhilarating run of success comes at a price."
s825,15-Oct-17,2015,TV-MA,90 min,"Documentaries, International Movies","This documentary tries to reconstruct, through a series of interviews, a family's misguided attempt to heal a woman's pain through exorcism."
s826,2-Nov-19,2015,TV-G,1 Season,"Kids' TV, TV Comedies","The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team."
s827,7-Jun-19,2018,TV-MA,74 min,"Dramas, Independent Movies, International Movies",An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.
s828,1-Aug-17,2016,TV-MA,91 min,"Dramas, Independent Movies, International Movies",An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.
s829,15-Mar-20,2009,TV-Y,1 Season,Kids' TV,"In the magical Little Kingdom, friends Ben Elf and fairy princess Holly have fun adventures as they learn about teamwork, sharing and problem-solving."
s830,30-Sep-18,2016,TV-Y7,1 Season,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
s831,20-May-20,2020,TV-PG,85 min,Music & Musicals,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”"
s832,31-Dec-19,2019,PG-13,90 min,"Comedies, Sports Movies",A rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team.
s833,22-Oct-20,2017,TV-MA,102 min,Documentaries,This documentary follows a group of ambitious advocates whose mission to save lives in Haiti turns into a global fight for health care and justice.
s834,8-Jun-19,2019,TV-MA,90 min,"Independent Movies, Thrillers","An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective."
s835,16-Mar-18,2018,TV-PG,87 min,"Children & Family Movies, Dramas",A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
s836,6-Mar-18,2004,PG,100 min,"Children & Family Movies, Dramas","Benji is back in this charming story that's told from the pooch's point of view, tracking his early days as a pup to his current life in showbiz."
s837,3-Oct-18,1978,TV-G,25 min,Children & Family Movies,"While on a press tour, Benji goes behind the scenes of Santa's workshop. But Santa has a devastating secret, so it's up to Benji to save Christmas."
s838,2-May-20,2019,PG-13,94 min,"Dramas, Sports Movies",A medically discharged soldier attempts an improbable return to motorcycle racing to win enough prize money to save his father's farm.
s839,15-Jan-17,2008,TV-MA,105 min,"Dramas, International Movies, Music & Musicals","DJ Ickarus is at the top of his game, dazzling fans and touring the world – until he gets locked in the loony bin after taking a few too many drugs."
s840,10-Mar-17,2012,TV-14,99 min,"Comedies, International Movies, Sports Movies","After a losing streak puts him in debt of 50,000 euros to his sponsors, an unlikely Turkish-German boxer in Berlin finds himself in need of a miracle."
s841,25-Aug-17,2017,R,116 min,"International Movies, Thrillers",What starts as a passionate one-night stand quickly turns sinister when Clare learns she's locked inside Andi's apartment with no way out.
s842,7-Aug-20,2020,TV-MA,82 min,"Comedies, International Movies","In this cinematic sequel to the hit TV series, Lolle has moved on from Sven and is about to marry her friend Hart – until Sven disrupts her plans."
s843,8-Jun-19,2019,R,120 min,"Dramas, International Movies, Romantic Movies","Set in the Grey City, this ""Cities of Love"" installment is a star-studded, 10-story collection of redemptive love, crushing loss and everyday romances."
s844,15-Oct-16,2012,TV-MA,77 min,"Action & Adventure, Anime Features, International Movies","Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate."
s845,1-Sep-17,2012,TV-MA,92 min,"Action & Adventure, Anime Features, International Movies","For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk."
s846,1-Sep-17,2013,TV-MA,107 min,"Action & Adventure, Anime Features, International Movies","A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate."
s847,17-Mar-20,2020,TV-MA,62 min,Stand-Up Comedy,"Ever the stand-up party animal, comic Bert Kreischer riffs on parenting and family life, being a gun and pet owner, his dad discovering pot, and more."
s848,24-Aug-18,2018,TV-MA,57 min,Stand-Up Comedy,Shirtless comic Bert Kreischer relays personal secrets and stories about being a cool – if not always responsible – dad in this stand-up special.
s849,22-Feb-19,2016,TV-MA,70 min,Stand-Up Comedy,"From his run-in with a grizzly bear to partying with the Russian mafia, the shirtless comic returns with laugh-out-loud tales in this stand-up special."
s850,30-Dec-20,2020,TV-G,1 Season,Reality TV,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
s851,23-Feb-18,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Two young stars with different backgrounds and agendas enter into a fake marriage to advance their careers, until the fake starts turning real."
s852,6-Jun-19,2014,TV-14,98 min,"Comedies, International Movies","A just-married couple moves into their new home, finding themselves at war with the kids next door, who seem determined to make their lives miserable."
s853,31-Dec-20,2020,TV-MA,77 min,Stand-Up Comedy,"From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials."
s854,3-Oct-20,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies","From unseen footage to the last table read, this documentary takes an inside look at the final season of the acclaimed comedy series ""Schitt's Creek."""
s855,18-Mar-17,2016,TV-MA,97 min,Documentaries,"The cast and crew of the 1981 Broadway musical ""Merrily We Roll Along"" recall joy and heartbreak during the production of a surefire hit that wasn't."
s856,19-Oct-18,2018,TV-PG,1 Season,"Kids' TV, TV Comedies","Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another."
s857,24-May-20,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Horror","Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies."
s858,25-Mar-20,2019,PG,100 min,"Children & Family Movies, Documentaries, Sports Movies",This documentary follows the rising tide of Bethany Hamilton who lost her arm as a teen before making waves in pro surfing and her personal life.
